Genre,Network,CPM,Spot Cost,# Downloads,Avg HHI,Daypart,Female %,Male %,Spot Length,Min Age,Max Age,Spend,Acquisitions,Client Count,CPA
Sports,Stitcher,29.41,1470.50,"50,000",100000.00,Mon;Tue;Wed;Thu;Fri,0.02,0.98,:60,18,65,2140.00,555.00,1.00,3.85
Comedy,Public Media Marketing,19.47,16063.00,"825,000",,Mon;Tue;Wed;Thu;Fri,0.30,0.70,:60,30,30,226960.00,13882.00,8.00,16.35
Society and Culture,Podcast One,20.34,1200.00,"59,000",50000.00,Wed,0.99,0.01,:60,,,6146.00,288.00,3.00,21.33
Comedy,HeadGum,23.53,1764.71,"75,000",75000.00,Mon,0.40,0.60,:60,18,34,12615.00,427.00,6.00,29.55
Comedy,Washed Media,25.00,1500.00,"60,000",75000.00,Mon;Wed,0.21,0.79,:60,18,34,30325.00,693.00,12.00,43.75
Comedy,Libsyn,52.94,529.40,"10,000",50000.00,Fri,0.29,0.71,:60,,,10124.00,230.00,8.00,44.09
Comedy,Maximum Fun,38.65,13529.00,"350,000",80000.00,Mon,0.44,0.44,:30,18,50,60240.00,1106.00,3.00,54.44
News,Vox Media,30.00,3900.00,"130,000",100000.00,Tue;Fri,0.40,0.60,:60,18,34,6333.00,115.00,1.00,55.07
TV and Film,Premiere Podcast,22.50,1935.47,"86,021",,Mon,0.94,0.06,:60,18,55,7498.00,106.00,2.00,70.41
Comedy,Independent Podcast,21.00,4620.00,"220,000",,Thu,0.10,0.90,:60,18,34,44052.00,595.00,6.00,74.08
TV and Film,Wondery,31.50,1732.50,"55,000",104256.00,Wed,0.98,0.02,:60,35,35,34702.00,463.00,11.00,75.00
Comedy,Dear Media,28.28,1470.59,"52,000",75000.00,Sat,0.95,0.05,:90,22,36,1970.00,23.00,1.00,86.17
Sports,CBS Sports,21.50,3332.00,"155,000",,,0.04,0.96,:60,18,59,51261.00,593.00,8.00,86.40
Arts,Radiotopia,29.41,15705.88,"534,000",,Tue;Fri,0.74,0.23,:30,,,15834.00,176.00,1.00,90.11
Comedy,HeadGum,17.65,1411.76,"80,000",75000.00,Thu,0.30,0.70,:60,18,49,2768.00,30.00,1.00,91.25
Health and Fitness,Podcast One,20.00,500.00,"24,998",150000.00,Mon;Wed;Fri,0.56,0.44,:60,,,2003.00,22.00,3.00,92.73
Comedy,Rooster Teeth,29.42,1912.00,"65,000",,Sun,0.21,0.79,:60,18,35,6810.00,73.00,2.00,92.98
Society and Culture,AdvertiseCast,35.29,1411.76,"40,000",117700.00,Mon;Tue;Wed;Thu;Fri,0.95,0.05,:60,38,38,16840.00,175.00,9.00,96.18
